disease,symptom
Bronchiectasis,"['Cough which produces mucus', 'Shortness of breath']"
Bronchiolitis,"['Blocked nose', 'Dry cough', 'Fast or shallow breathing', 'Feeding less than usual', 'Runny nose', 'Wheeze (noise on breathing out)']"
Bronchitis,"['Cough which produces mucus', 'Wheeze (noise on breathing out)']"
Bulimia,"['Intentional weight loss', 'Irregular or infrequent periods', 'Obsessed with weight or appearance']"
Bunion,"['Foot pain', 'Pain in one joint', 'Pain in toe', 'Pain under front of foot', 'Single joint stiffness', 'Single swollen joint', 'Swollen toe']"
Bursitis,"['Pain in elbow', 'Pain in one joint', 'Pain in shoulder', 'Single joint stiffness', 'Single swollen joint']"
Carcinoma in situ of eye,"['Blurred vision', 'Eye pain', 'Spots moving across field of vision']"
Carcinoma of cervix,"['Bleeding between periods', 'Unusual vaginal discharge', 'Vaginal bleeding after menopause', 'Vaginal bleeding after sex']"
Carpal Tunnel Syndrome,"['Numbness or  tingling on one side of body', 'Weakness of one side of the body']"
Cataract,"['Blurred vision', 'Reduced vision', 'Seeing double']"
Cellulitis,"['Painful skin', 'Red skin']"
Cervical spondylosis,"['Neck pain', 'Neck stiffness', 'Pain in shoulder']"
Chest infection,"['Cough', 'Cough which produces mucus', 'High temperature', 'Shivering or rigors', 'Shortness of breath']"
Chickenpox,"['Blistering rash', 'Blisters on chest, abdomen or back', 'Itchy rash', 'Loss of appetite']"
Chilblains,"['Feeling of your skin burning', 'Itchy rash', 'Pain in finger', 'Pain in toe', 'Swollen finger']"
Chlamydia,"['Bleeding between periods', 'Difficulty passing urine', 'Difficulty passing urine', 'Lower abdominal pain', 'Pain during sex', 'Pain in testicle', 'Pain when passing urine', 'Pain when passing urine', 'Penis discharge', 'Swollen scrotum or testicle', 'Unusual vaginal discharge', 'Vaginal bleeding after sex']"
Chronic fatigue syndrome,"['Aching muscles all over body', 'Pain in more than one joint']"
Chronic obstructive lung disease,"['Cough which produces mucus', 'Shortness of breath', 'Wheeze (noise on breathing out)']"
Claustrophobia,"['Anxiety', 'Feeling heart beat', 'Feeling sick or nausea', 'Sweating', 'Tremor']"
Cluster headache,"['Headache that came on suddenly', 'Pain on left or right side of head', 'Severe headache']"
Cold,"['Blocked nose', 'Excessive sneezing', 'Runny nose', 'Sore throat']"
Complex regional pain syndrome,"['Leg pain', 'Swelling of more than one joint']"
Congenital cataract,"['Blurred vision', 'Reduced vision', 'Seeing double']"
Congestive heart failure,"['Cough which produces mucus', 'Shortness of breath', 'Swollen feet or ankles']"
Constipation,"['Abdominal pain', 'Constipation', 'Stomach cramps', 'Unable to completely empty bowels']"
Costochondritis,"['Chest pain, worse on breathing in']"
Crohn's disease,"['Abdominal pain', 'Bloody diarrhoea', 'Change in bowel habit', 'Continuous, unexplained weight loss', 'Diarrhoea', 'Mucus in stool or  poo', 'Stomach cramps']"
Croup,"['Blocked nose', 'Change of voice', 'Cough', 'Fast or shallow breathing', 'High temperature', 'Noisy breathing, on breathing in', 'Runny nose', 'Shortness of breath']"
Cyclical breast pain,['Breast pain']
Cystic fibrosis,['Cough which produces mucus']
Cystitis,"['Cloudy urine', 'Difficulty passing urine', 'Lower abdominal pain', 'Pain when passing urine', 'Passing more urine than usual', 'Urgent desire to pass urine']"
DVT,"['Leg pain', 'Leg swelling']"
Dengue,"['Headache', 'Shivering or rigors']"
Depression,"['Feeling irritable', 'Increased appetite', 'Loss of appetite', 'Unusually tired']"
Diphtheria,"['Change of voice', 'Difficult or painful swallowing', 'Difficulty speaking', 'Shivering or rigors', 'Sore throat', 'White spots on tonsils']"
Diverticulitis,"['Abdominal pain worse on coughing', 'Bloated stomach', 'Blood in stool or poo', 'Change in bowel habit', 'Lower abdominal pain', 'Passing excessive wind']"
Dry eyes,"['Dry eyes', 'Eye pain', 'Itchy eyes', 'Red eyes']"
Dupuytren's contracture,['Fingers bending towards palm']
Ectopic pregnancy,"['Bleeding between periods', 'Lower abdominal pain', 'Missing periods']"
Eczema,"['Dry skin', 'Itchy rash']"
Encephalitis,"['Confused or muddled', 'Confusion which is new', 'Fits or  seizure', 'Headache']"
Endometrial Cancer,"['Bleeding between periods', 'Heavy periods', 'Vaginal bleeding after menopause']"
Endometriosis,"['Bleeding between periods', 'Heavy periods', 'Pain in the pelvic region', 'Painful periods or  menstruation']"
Epiglottitis,"['Change of voice', 'Feeding less than usual', 'Noisy breathing, on breathing in']"
Epilepsy,"['Confusion which is new', 'Fits or  seizure', 'Loss of consciousness', 'Unintentional passing of urine']"
Essential tremor,['Tremor']
Exudative age-related macular degeneration,['Blurred vision']
Fear of open spaces,"['Anxiety', 'Fast or shallow breathing', 'Feeling heart beat', 'Feeling sick or nausea', 'Sweating']"
Febrile convulsion,['Fits or  seizure']
Fibroid,"['Heavy periods', 'Lower back pain', 'Painful periods or  menstruation', 'Unusually tired']"
Fibromyalgia,"['Aching muscles all over body', 'Pain in more than one joint', 'Unusually tired']"
Fifth Disease,"['Blocked nose', 'High temperature', 'Runny nose', 'Skin rash']"
Flu,['High temperature']
Frozen Shoulder,"['Pain in shoulder', 'Shoulder stiffness']"
Gallstone,"['Abdominal pain after eating', 'Right sided abdominal pain', 'Upper abdominal pain']"
Gastroenteritis,"['Diarrhoea', 'Feeling sick or nausea', 'Stomach cramps', 'Vomiting']"
Genital Herpes in Men,"['Difficulty passing urine', 'Pain when passing urine', 'Rash on penis']"
Genital Herpes in Women,"['Difficulty passing urine', 'Pain in vagina', 'Pain when passing urine', 'Unusual vaginal discharge', 'Vaginal rash']"
Genital warts in Men,['Growth or sore on penis']
Genital warts in Women,"['Vaginal lump or sore', 'Vaginal rash']"
Glandular Fever,"['Aching muscles all over body', 'Sore throat']"
Glaucoma,"['Blurred vision', 'Eye pain', 'Loss of outer vision', 'Reduced vision']"
Glue ear,['Hearing loss']
Gluten Intolerance,"['Abdominal pain', 'Bloated stomach', 'Continuous, unexplained weight loss', 'Diarrhoea', 'Passing excessive wind']"
Gonorrhoea in Men,"['Difficulty passing urine', 'Pain when passing urine', 'Penis discharge']"
Gonorrhoea in Women,"['Difficulty passing urine', 'Pain when passing urine', 'Unusual vaginal discharge']"
Gout,"['Affected joint feels warm', 'Pain in one joint', 'Pain in toe', 'Single joint stiffness', 'Single swollen joint', 'Swollen toe']"
Granulomatosis with polyangiitis,"['Cough', 'Excessive sweating at night', 'Nose bleeding']"
Guillain-Barre syndrome,"['Difficulty walking', 'Weakness in the legs']"
Haemophilia A,"['Easy bruising', 'Nose bleeding']"
Hammer finger,"['Fingers bending towards palm', 'Pain in finger', 'Swollen finger']"
Hand foot and mouth disease,"['Loss of appetite', 'Mouth soreness', 'Rash on foot', 'Skin rash', 'Sore throat']"
Hay fever,"['Blocked nose', 'Excessive sneezing', 'Itchy eyes', 'Runny nose', 'Watery eyes']"
Heart attack,"['Chest pain', 'Chest tightness', 'Sudden chest pain', 'Sweating']"
Heat stroke,['Unusually thirsty']
Heel pain,['Difficulty walking']
Henoch-Schonlein purpura,"['Abdominal pain', 'Pain in more than one joint', 'Painful knee', 'Swollen feet or ankles']"
Hepatitis,"['Feeling sick or nausea', 'Loss of appetite', 'Right sided abdominal pain', 'Unusually tired', 'Upper abdominal pain', 'Vomiting', 'Yellow skin or eyes']"
High altitude pulmonary oedema,"['Headache', 'Lightheaded or feeling dizzy']"
High pressure headache,"['Blurred vision', 'Headache getting worse over time', 'Headache on waking up', 'Seeing double', 'Severe headache', 'Vomiting']"
Hives,['Red skin']
Impetigo,['Blistering rash']
Infection of the breast,"['Breast pain', 'Lump in breast', 'Redness of the breast']"
Infective conjunctivitis,"['Discharge from eyes', 'Eye pain', 'Itchy eyes', 'Red eyes']"
Infestation by Sarcoptes scabiei var hominis,"['Itchy rash', 'Itchy skin']"
Inflammation of eyelids,"['Discharge from eyes', 'Eye pain', 'Itchy eyes', 'Pain on eyelid', 'Red eyes', 'Swollen eyelid']"
Inflammation of pancreas,"['Abdominal pain spreading to shoulder blade', 'Abdominal pain worse on coughing', 'Back pain', 'Loss of appetite', 'Upper abdominal pain']"
Inflammation of the nose,"['Blocked nose', 'Excessive sneezing', 'Runny nose']"
Inguinal hernia,['Swollen scrotum or testicle']
Inner Ear Inflammation,"['Hearing loss', 'Lightheaded or feeling dizzy', 'Sensation of room spinning']"
Iron deficiency anaemia,['Unusually tired']
Irritable bowel syndrome,"['Abdominal pain', 'Abdominal pain after eating', 'Bloated stomach', 'Change in bowel habit', 'Constipation', 'Diarrhoea', 'Passing excessive wind', 'Stomach cramps']"
Irritable hip,"['Difficulty walking', 'Hip pain', 'Stiff hip']"
Kawasaki disease,"['Feeling irritable', 'Mouth soreness', 'Rash on penis', 'Red eyes', 'Skin rash', 'Swollen tongue with red spots', 'Vaginal rash']"
Kidney Cancer,"['Lower back pain', 'Pain on side of abdomen', 'Painless blood in urine']"
Lactose intolerance,"['Abdominal pain after eating', 'Bloated stomach', 'Diarrhoea', 'Passing excessive wind']"
Laryngeal Cancer,"['Change of voice', 'Difficulty speaking', 'Food sticks on swallowing']"
Laryngitis,"['Change of voice', 'Difficulty speaking', 'High temperature', 'Sore throat']"
Liver cancer,"['Bloated stomach', 'Loss of appetite', 'Vomiting', 'Yellow skin or eyes']"
Lung cancer,"['Continuous, unexplained weight loss', 'Cough', 'Shortness of breath']"
Lymphoedema,"['Leg swelling', 'Swollen feet or ankles']"
Major head injury,"['Confused or muddled', 'Confusion which is new', 'Feel unbalanced', 'Head injury', 'Headache', 'Lightheaded or feeling dizzy', 'Memory loss', 'Seeing double', 'Slurred speech', 'Vomiting']"
Malaria,"['Aching muscles all over body', 'Diarrhoea', 'Headache', 'High temperature', 'Shivering or rigors', 'Sweating']"
Male breast cancer,['Lump in breast']
Mastoiditis,"['Discharge from ear', 'Ear pain', 'Feeling irritable', 'Hearing loss in one ear']"
Measles,"['Excessive sneezing', 'Eye pain', 'Feeling irritable', 'Red eyes', 'Runny nose', 'Skin rash', 'Sore throat', 'Watery eyes']"
Meniere's disease,"['Ears feel blocked', 'Hearing loss in one ear', 'Noises in ear', 'Sensation of room spinning']"
Meningitis,"['Eyes sensitive to light', 'Headache', 'Neck pain', 'Neck stiffness']"
Menopause,"['Excessive sweating at night', 'Flushing', 'Irregular or infrequent periods', 'Missing periods', 'Sensitive to heat', 'Unusually tired', 'Vaginal dryness']"
Migraine,"['Feeling sick or nausea', 'Headache', 'Headache that came on suddenly', 'Pain on left or right side of head', 'Severe headache']"
Minor head injury,"['Head injury', 'Lightheaded or feeling dizzy']"
Morning sickness,"['Feeling sick or nausea', 'Vomiting']"
Morton's Neuroma,"['Foot pain', 'Pain in toe', 'Pain under front of foot']"
Multiple myeloma,"['Easy bruising', 'Hip pain', 'Lower back pain']"
Mumps,"['Face pain', 'Swelling of the face']"
Nasopharyngeal cancer,"['Blocked nose', 'Change of voice', 'Difficult or painful swallowing', 'Difficulty speaking', 'Hearing loss in one ear', 'Nose bleeding']"
Neoplasm of nose,['Nose bleeding']
Nephrotic syndrome,"['Gaining weight unintentionally', 'Leg swelling', 'Puffyswollen eyes', 'Swollen feet or ankles']"
Non-Hodgkin's lymphoma,"['Continuous, unexplained weight loss', 'Excessive sweating at night']"
Oesophageal Cancer,"['Burning pain in chest or upper abdomen', 'Difficult or painful swallowing', 'Food sticks on swallowing', 'Loss of appetite', 'Vomiting']"
Oral Thrush,"['Mouth soreness', 'White patches in mouth or tongue']"
Oral thrush,"['Mouth soreness', 'White patches in mouth or tongue']"
Osteoarthritis,"['Hip pain', 'Pain in one joint', 'Painful knee', 'Single joint stiffness', 'Single swollen joint', 'Swollen knee']"
Otitis externa,"['Discharge from ear', 'Ears feel blocked']"
Otitis media,"['Ear pain', 'Hearing loss in one ear', 'High temperature']"
Otosclerosis,['Noises in ear']
Ovarian Cancer,"['Bloated stomach', 'Lower abdominal pain', 'Pain in the pelvic region']"
Ovarian cyst,"['Bloated stomach', 'Lower abdominal pain', 'Pain during sex', 'Pain in the pelvic region']"
Overactive Thyroid,"['Continuous, unexplained weight loss', 'Diarrhoea', 'Feeling irritable', 'Increased appetite', 'Sensitive to heat', 'Sweating']"
PTSD,"['Anxiety', 'Feeling irritable']"
Pain at base of spine,['Pain at base of spine']
Pancreatic Cancer,['Yellow skin or eyes']
Panic disorder,"['Anxiety', 'Fast or shallow breathing']"
Parkinson's disease,"['Feel unbalanced', 'Tremor']"
Pelvic Inflammatory Disease,"['Bleeding between periods', 'Heavy periods', 'Pain during sex', 'Pain in the pelvic region', 'Painful periods or  menstruation', 'Unusual vaginal discharge', 'Vaginal bleeding after sex']"
Penile Thrush,['Rash on penis']
Penile cancer,"['Growth or sore on penis', 'Penis discharge', 'Rash on penis']"
Peptic ulcer,"['Burning pain in chest or upper abdomen', 'Upper abdominal pain']"
Pericarditis,"['Chest pain', 'Sudden chest pain']"
Peripheral Artery Disease,"['Aching muscles all over body', 'Leg pain']"
Piles,"['Anal lump', 'Blood in stool or poo', 'Itchy anus', 'Pain when passing stools']"
Polycystic ovaries,"['Gaining weight unintentionally', 'Hair loss or thinning']"
Polymyalgia rheumatica,"['Aching muscles all over body', 'Hip pain', 'Neck pain', 'Neck stiffness', 'Pain in shoulder', 'Shoulder stiffness', 'Stiff hip', 'Stiffness in many joints']"
Postherpetic neuralgia,"['Feeling of your skin burning', 'Itchy skin', 'Numbness or  tingling on one side of body']"
Postural tachycardia syndrome,"['Feeling heart beat', 'Loss of consciousness']"
Pre-eclampsia,"['Reduced vision', 'Severe headache', 'Swelling of the face', 'Swollen feet or ankles']"
Premenstrual tension syndrome,"['Bloated stomach', 'Breast pain', 'Feeling irritable']"
Prickly heat,['Itchy rash']
Prostate Cancer,"['Difficulty passing urine', 'Passing more urine than usual', 'Passing urine at night frequently', 'Urgent desire to pass urine', 'Weak flow of urine']"
Prostatic enlargement,"['Passing more urine than usual', 'Passing urine at night frequently', 'Unintentional passing of urine', 'Urgent desire to pass urine', 'Weak flow of urine']"
Prostatitis,"['Groin pain', 'Lower back pain', 'Pain in testicle', 'Pain when passing urine', 'Passing more urine than usual']"
Psoriasis,"['Dry skin', 'Flaky skin', 'Itchy rash', 'Skin rash', 'Thickened patch of skin']"
Psoriatic arthritis,"['Pain in more than one joint', 'Stiffness in many joints', 'Swelling of more than one joint']"
Pulmonary Embolism,"['Chest pain on physical effort', 'Chest pain, worse on breathing in', 'Fast or shallow breathing', 'Shortness of breath']"
Pyelonephritis,"['Difficulty passing urine', 'Groin pain', 'Lower back pain', 'Pain on side of abdomen', 'Passing more urine than usual', 'Shivering or rigors', 'Urgent desire to pass urine']"
Reactive arthritis,"['Pain in more than one joint', 'Pain in one joint', 'Single swollen joint', 'Stiffness in many joints']"
Recurrent pancreatitis,"['Feeling sick or nausea', 'Upper abdominal pain', 'Vomiting']"
Repetitive Strain Injury,"['Pain in one joint', 'Single joint stiffness']"
Retinal detachment,"['Blurred vision', 'Loss of outer vision', 'Reduced vision', 'Spots moving across field of vision']"
Rheumatoid arthritis,"['Foot pain', 'Pain in finger', 'Pain in more than one joint', 'Stiffness in many joints', 'Swelling of more than one joint', 'Swollen finger']"
Ringworm,['Itchy rash']
Rosacea,['Flushing']
Roseola,"['Blocked nose', 'Cough', 'Runny nose', 'Skin rash', 'Sore throat']"
Rotator cuff syndrome,['Pain in shoulder']
Rubella,"['Cough', 'Skin rash']"
SVT,"['Chest pain', 'Fast or shallow breathing', 'Feeling heart beat', 'Lightheaded or feeling dizzy', 'Loss of consciousness', 'Shortness of breath']"
Salivary gland stone,"['Face pain', 'Jaw pain when eating', 'Swelling of the face']"
Scarlet fever,"['Skin rash', 'Sore throat', 'Swollen tongue with red spots']"
Sensation of room spinning,"['Feel unbalanced', 'Lightheaded or feeling dizzy', 'Sensation of room spinning']"
Severe allergic reaction,"['Fast or shallow breathing', 'Puffyswollen eyes', 'Swelling of the face', 'Swollen lip', 'Unable to talk in full sentences']"
Shingles,"['Blistering rash', 'Blisters on chest, abdomen or back', 'Itchy rash', 'Numbness or  tingling on one side of body', 'Painful skin']"
Shooting pain down back of leg,"['Buttock pain', 'Leg pain', 'Lower back pain']"
Sinusitis,"['Blocked nose', 'Face pain', 'Headache at front of head', 'High temperature']"
Sjogren's syndrome,['Dry eyes']
Sore throat,"['Difficult or painful swallowing', 'Dry cough', 'Sore throat']"
Stomach Cancer,"['Bloated stomach', 'Burning pain in chest or upper abdomen', 'Continuous, unexplained weight loss', 'Feeling sick or nausea', 'Upper abdominal pain']"
Stroke,"['Drooping of the face', 'Slurred speech', 'Weakness in the legs', 'Weakness of one side of the body']"
Stye,"['Pain on eyelid', 'Swollen eyelid']"
Subarachnoid haemorrhage,"['Blurred vision', 'Eyes sensitive to light', 'Headache that came on suddenly', 'Neck stiffness', 'Severe headache']"
Subdural hemorrhage,"['Confused or muddled', 'Feel unbalanced', 'Head injury', 'Headache getting worse over time']"
Systemic sclerosis,"['Bloated stomach', 'Burning pain in chest or upper abdomen', 'Difficult or painful swallowing', 'Food sticks on swallowing', 'Swelling of more than one joint', 'Thickened patch of skin']"
TB,"['Continuous, unexplained weight loss', 'Cough', 'Excessive sweating at night', 'Loss of appetite']"
TV in Men,['Penis discharge']
TV in Women,['Unusual vaginal discharge']
Teeth grinding,"['Face pain', 'Jaw pain when eating', 'Teeth grinding']"
Temporal arteritis,"['Headache', 'Jaw pain when eating', 'Severe headache']"
Temporomandibular joint disorder,"['Jaw pain when eating', 'Locked jaw', 'Teeth grinding']"
Tennis Elbow,['Pain in elbow']
Tension headache,"['Headache', 'Headache at front of head']"
Testicular cancer,['Swollen scrotum or testicle']
Tetanus,['Locked jaw']
Tonsillitis,"['Change of voice', 'Cough', 'Difficult or painful swallowing', 'Difficulty speaking', 'High temperature', 'Sore throat', 'White spots on tonsils']"
Type 1 diabetes,"['Passing more urine than usual', 'Unusually thirsty']"
Type 2 diabetes,"['Continuous, unexplained weight loss', 'Passing more urine than usual', 'Unusually thirsty', 'Unusually tired']"
Typhoid fever,"['Abdominal pain', 'Constipation', 'Headache', 'Loss of appetite']"
Ulcerative colitis,"['Abdominal pain', 'Bloody diarrhoea', 'Change in bowel habit', 'Diarrhoea', 'Mucus in stool or  poo', 'Unable to completely empty bowels']"
Under-active Thyroid,"['Constipation', 'Gaining weight unintentionally', 'Unusually tired']"
Urinary tract infection in children,"['Cloudy urine', 'Feeding less than usual', 'Feeling irritable', 'High temperature', 'Passing more urine than usual', 'Unusually tired']"
Uterine prolapse,"['Passing more urine than usual', 'Unintentional passing of urine', 'Vaginal lump or sore', 'Weak flow of urine']"
Uveitis,"['Blurred vision', 'Eye pain', 'Eyes sensitive to light', 'Loss of outer vision', 'Red eyes', 'Reduced vision', 'Spots moving across field of vision']"
Vaginal Cancer,['Bleeding between periods']
Vaginal pain,"['Pain in vagina', 'Vaginal dryness']"
Vaginal thrush,"['Itchy vagina', 'Pain when passing urine', 'Unusual vaginal discharge']"
Vaginismus,"['Pain during sex', 'Pain in vagina']"
Vaginitis,"['Itchy vagina', 'Pain in vagina', 'Unusual vaginal discharge']"
Varicose veins,"['Leg pain', 'Leg swelling', 'Swollen feet or ankles', 'Swollen purple veins on legs']"
Varicose veins of the leg with eczema,"['Dry skin', 'Flaky skin', 'Itchy rash', 'Leg swelling', 'Swollen feet or ankles', 'Swollen purple veins on legs']"
Venous Ulcer,"['Leg pain', 'Leg swelling', 'Swollen feet or ankles']"
Vulval Cancer,"['Itchy vagina', 'Pain in vagina', 'Unusual vaginal discharge', 'Vaginal rash']"
Whooping cough,"['Dry cough', 'Runny nose']"
abdomen acute,['ileus']
abdominal bloating,['candidiasis oralcandidiasis']
abdominal tenderness,"['dementia', 'diverticulitis', 'bacteremia', 'hepatitis B', 'candidiasis oralcandidiasis', 'ketoacidosis diabetic', 'ileus']"
abnormal sensation,['hemiparesis']
abnormally hard consistency,"['fibroid tumor', 'cholecystitis']"
abortion,['fibroid tumor']
abscess bacterial,"['infection', 'cellulitis', 'diverticulitis', 'osteomyelitis', 'diverticulosis', 'endocarditis', 'ileus']"
absences finding,"['encephalopathy', 'tonic-clonic epilepsy tonic-clonic seizures']"
achalasia,"['deglutition disorder', 'parkinson disease', 'hemorrhoids']"
ache,"['hepatitis C', 'malignant neoplasm of lung carcinoma of lung']"
adverse reaction adverse effect,['candidiasis oralcandidiasis']
agitation,"['depression mental , depressive disorder', 'dementia', 'confusion', 'hypothyroidism', 'anxiety state', 'psychotic disorder', 'bipolar disorder', 'paranoia', 'schizophrenia', 'suicide attempt', 'parkinson disease', ""Alzheimer's disease"", 'glaucoma', 'malignant neoplasm of lung carcinoma of lung', 'personality disorder', 'pneumothorax', 'dependence', 'delusion', 'delusion']"
air fluid level,['ileus']
alcohol binge episode,['tachycardia sinus']
alcoholic withdrawal symptoms,['suicide attempt']
ambidexterity,"['tonic-clonic epilepsy tonic-clonic seizures', 'migraine disorders']"
angina pectoris,"['hypertensive disease', 'coronary arteriosclerosis ,coronary heart disease', 'myocardial infarction', 'peripheral vascular disease', 'hyperlipidemia', 'ischemia', 'stenosis aortic valve', 'failure heart', 'obesity morbid']"
anorexia,"['dehydration', 'peripheral vascular disease', 'ischemia', 'benign prostatic hypertrophy', 'diverticulitis', 'hepatitis', 'diverticulosis', 'thrombus']"
anosmia,['neoplasm']
aphagia,"['hemiparesis', 'spasm bronchial']"
apyrexial,"['infection', 'insufficiency renal', 'septicemia systemic infection sepsis (invertebrate)', 'embolism pulmonary', 'chronic kidney failure', 'exanthema', 'osteoporosis', 'pancreatitis', 'hernia', 'diverticulitis', 'ulcer peptic', 'osteomyelitis', 'sickle cell anemia', 'upper respiratory infection', 'spasm bronchial', 'endocarditis', 'neutropenia', 'cholelithiasis biliary calculus', 'ileus']"
arthralgia,"['anemia', 'exanthema', 'emphysema pulmonary']"
ascites,"['insufficiency renal', 'malignant neoplasms primary malignant neoplasm', 'hepatitis C', 'cirrhosis', 'hepatitis', 'gout', 'hyperglycemia', 'personality disorder', 'cholecystitis', 'cholelithiasis biliary calculus']"
asterixis,"['confusion', 'hepatitis C', 'encephalopathy', 'hernia hiatal']"
asthenia,"['hypertensive disease', 'diabetes', 'accident cerebrovascular', 'infection urinary tract', 'anemia', 'insufficiency renal', 'confusion', 'degenerative polyarthritis', 'hypothyroidism', 'gastroesophageal reflux disease', 'dehydration', 'chronic kidney failure', 'kidney failure acute', 'arthritis', 'hemiparesis', 'transient ischemic attack', 'incontinence', 'hernia', 'malignant neoplasm of prostate carcinoma prostate', 'deglutition disorder', 'neuropathy', 'malignant neoplasm of lung carcinoma of lung']"
asymptomatic,"['ischemia', 'mitral valve insufficiency']"
ataxia,"['malignant neoplasm of prostate carcinoma prostate', 'deglutition disorder', 'lymphoma']"
atypia,"['arthritis', 'neoplasm metastasis']"
aura,"['epilepsy', 'incontinence', 'encephalopathy', 'ketoacidosis diabetic']"
awakening early,"['colitis', 'neuropathy']"
barking cough,['upper respiratory infection']
bedridden bedridden,"['dementia', 'failure kidney', ""Alzheimer's disease"", 'affect labile']"
behavior hyperactive,"['psychotic disorder', 'bipolar disorder']"
behavior showing increased motor activity,['emphysema pulmonary']
blackout,"['depression mental , depressive disorder', 'anxiety state', 'psychotic disorder', 'bipolar disorder', 'benign prostatic hypertrophy', 'paranoia', 'suicide attempt', 'effusion pericardial pericardial effusion body substance', 'influenza', 'delusion']"
blanch,['manic disorder']
bleeding of vagina,"['cirrhosis', 'kidney disease']"
bowel sounds decreased,['hemorrhoids']
bradycardia,"['myocardial infarction', 'hypercholesterolemia', 'septicemia systemic infection sepsis (invertebrate)', 'ischemia', 'stenosis aortic valve', 'tricuspid valve insufficiency', 'malignant tumor of colon carcinoma colon', 'hyperbilirubinemia']"
bradykinesia,['osteoporosis']
breakthrough pain,['sickle cell anemia']
breath sounds decreased,"['pneumonia', 'insufficiency renal', 'malignant neoplasm of prostate carcinoma prostate', 'hypertension pulmonary', 'endocarditis', 'chronic alcoholic intoxication']"
breath-holding spell,['gastroenteritis']
breech presentation,"['septicemia systemic infection sepsis (invertebrate)', 'hyperbilirubinemia', 'adhesion']"
bruit,['respiratory failure']
burning sensation,"['gastroesophageal reflux disease', 'malignant neoplasm of breast carcinoma breast', 'glaucoma', 'hemorrhoids']"
cachexia,"['benign prostatic hypertrophy', 'Pneumocystis carinii pneumonia', 'primary carcinoma of the liver cells', 'emphysema pulmonary']"
