disease_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Acetaminophen overdose,Abdominal pain upset stomach,Appetite loss,Coma,Convulsions,Diarrhea,Irritability,Jaundiceyellow skin and whites of eyes,Nausea vomiting,Sweating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetone poisoning,Low blood pressure,Nausea and vomiting,Pain in belly area,Person may havefruity odor,Sweet taste in mouth,Feeling of drunkenness,Coma unconscious unresponsive,Drowsiness,Stupor confusion decreased level of consciousness,Lack of coordination,Difficulty breathing,Slowed breathing rate,Shortness of breath,Increased need to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achalasia,Backflow regurgitation of food,Chest pain which may increase after eating or may be felt as pain in back neck and arms,Cough,Difficulty swallowing liquids and solids,Heartburn,Unintentional weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achilles tendinitis,The area may feel painful and stiff in morning,The tendon may be painful to touch or move,The area may be swollen and warm,You may have trouble standing up on one toe,You may also have trouble finding shoes that fit comfortably,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achondrogenesis,Very short trunk arms legs and neck,Head appears large in relation to trunk,Small lower jaw,Narrow chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achondroplasia,Abnormal hand appearance with persistent space between long and ring fingers,Bowed legs,Decreased muscle tone,Disproportionately large headtobody size difference,Prominent forehead frontal bossing,Shortened arms and legs especially upper arm and thigh,Short stature significantly below average height forperson of same age and sex,Narrowing of spinal column spinal stenosis,Spine curvatures called kyphosis and lordosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid soldering flux poisoning,Loss of vision,Severe pain in throat,Severe pain or burning in nose eyes ears lips or tongue,Decreased urine output,Kidney failure,Blood in stool,Burns of food pipe esophagus,Severe abdominal pain,Vomiting,Vomiting blood,Collapse,Irregular heart beat,Low blood pressure that develops rapidly,Breathing difficulty from breathing in chemical,Throat swelling which may also cause breathing difficulty,Burn,Holes in skin or tissues under skin,Irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidosis,Confusion,Fatigue,Lethargy,Shortness of breath,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne,Crusting of skin bumps,Cysts,Papules small red bumps,Pustules small red bumps containing white or yellow pus,Redness around skin eruptions,Scarring of skin,Whiteheads,Blackheads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acoustic neuroma,Abnormal feeling of movement vertigo,Hearing loss in affected ear that makes it hard to hear conversations,Ringing tinnitus in affected ear,Difficulty understanding speech,Dizziness,Headache,Loss of balance,Numbness in face orone ear,Pain in face or one ear,Weakness of face or facial asymmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acoustic trauma,Partial hearing loss that most often involves exposure to highpitched sounds,The hearing loss may slowly get worse,Noises ringing in ear tinnitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired platelet function defect,Heavy menstrual periods or prolonged bleeding more than 5 days each period,Abnormal vaginal bleeding,Blood in urine,Bleeding under skin or into muscles,Bruising easily or pinpoint red spots on skin,Gastrointestinal bleeding resulting in bloody dark black or tarry bowel movements or vomiting blood or material that looks like coffee grounds,Nosebleeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrodysostosis,Frequent middle ear infections,Growth problems short arms and legs,Hearing problems,Intellectual disability,The body doesnt respond to certain hormones even though hormone levels are normal,Distinct facial features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acromegaly,Body odor,Blood in stool,Carpal tunnel syndrome,Decreased muscle strength weakness,Decreased peripheral vision,Easy fatigue,Excessive height when excess,H production begins in childhood,Excessive sweating,Headache,Heart enlargement which can cause fainting,Hoarseness,Joint pain limited joint movement swelling of bony areas aroundjoint,Large bones of face large jaw and tongue widely spaced teeth,Large feet change in shoe size large hands change in ring or glove size,Large glands in skin sebaceous glands causing oily skin thickening of skin skin tags growths,Sleep apnea,Widened fingers or toes with swelling redness and pain,Colon polyps,Excess hair growth in females hirsutism,High blood pressure,Type 2 diabetes,Thyroid enlargement,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinic keratosis,Actinic keratosis is usually found on face scalp back of hands chest or places that are often in sun,The skin changes begin as flat and scaly areas,They often havewhite or yellow crusty scale on top,The growths may be gray pink red or same color as your skin,Latery may become hard and wartlike or gritty and rough,The affected areas may be easier to feel than see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomycosis,Draining sores in skin especially on chest wall from lung infection with actinomyces,Fever,Mild or no pain,Swelling orhard red to reddishpurple lump on face or upper neck,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute adrenal crisis,Abdominal pain or flank pain,Confusion loss of consciousness or coma,Dehydration,Dizziness or lightheadedness,Fatigue severe weakness,Headache,High fever,Loss of appetite,Low blood pressure,Nausea vomiting,Rapid heart rate,Rapid respiratory rate,Slow sluggish movement,Unusual and excessive sweating on face or palms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute arterial occlusion - kidney,Abdominal pain,Abrupt decrease in urine output,Back pain,Blood in urine,Flank pain or pain in side,"There may be no pain, pain if it is present most often develops suddenly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute bronchitis,Chest discomfort,Cough that produces mucus  mucus may be clear or yellowgreen,Fatigue,Fever  usually lowgrade,Shortness of breath that gets worse with activity,Wheezing in people with asthma,Even after acute bronchitis has cleared you may havedry nagging cough that lasts for 1 to 4 weeks,Sometimes it can be hard to know if you have pneumonia or bronchitis,If you have pneumonia you are more likely to havehigh fever and chills feel sicker or be more short of breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute cerebellar ataxia,Clumsy speech pattern dysarthria,Repetitive eye movements nystagmus,Uncoordinated eye movements,Walking problems unsteady gait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute cholecystitis,Sharp cramping or dull pain,Steady pain,Pain that spreads to your back or below your right shoulder blade,Claycolored stools,Fever,Nausea and vomiting,Yellowing of skin and whites of eyes jaundice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute coronary syndrome,Pain in shoulder arm neck jaw back or belly area,Discomfort that feels like tightness squeezing crushing burning choking or aching,Discomfort that occurs at rest and does not easily go away when you take medicine,Shortness of breath,Anxiety,Nausea,Sweating,Feeling dizzy or lightheaded,Fast or irregular heartbeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute flaccid myelitis,Facial droop or weakness,Drooping eyelids,Difficulty moving eyes,Slurred speech or difficulty swallowing,Some people may have,Stiffness in neck,Pain in arms or legs,Inability to pass urine,Respiratory failure when muscles involved in breathing become weak,Serious nervous system problems which may lead to death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute kidney failure,Bloody stools,Breath odor and metallic taste in mouth,Bruising easily,Changes in mental status or mood,Decreased appetite,Decreased sensation especially in hands or feet,Fatigueor slow sluggish movements,Flank pain between ribs and hips,Hand tremor,Heart murmur,High blood pressure,Nausea or vomiting may last for days,Nosebleeds,Persistent hiccups,Prolonged bleeding,Seizures,Shortness of breath,Swelling due to body keeping in fluid may be seen in legs ankles and feet,Urination changes such as little or no urine excessive urination at night or urination that stops completely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute lymphoblastic leukemia (ALL),Bone and joint pain,Easy bruising and bleeding such as bleeding gums skin bleeding nosebleeds abnormal periods,Feeling weak or tired,Fever,Loss of appetite and weight loss,Paleness,Pain or feeling of fullness below ribs fromenlarged liver or spleen,Pinpoint red spots on skin petechiae,Swollen lymph nodes in neck under arms and groin,Night sweats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute mountain sickness,Difficulty sleeping,Dizziness or lightheadedness,Fatigue,Headache,Loss of appetite,Nausea or vomiting,Rapid pulse heart rate,Shortness of breath with exertion,Blue color to skin cyanosis,Chest tightness or congestion,Confusion,Cough,Coughing up blood,Decreased consciousness or withdrawal from social interaction,Gray or pale complexion,Cannot walk instraight line orwalk at all,Shortness of breath at rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute myeloid leukemia - adult,Bleeding from nose,Bleeding and swelling rare in gums,Bruising,Bone pain or tenderness,Fever and fatigue,Heavy menstrual periods,Pale skin,Shortness of breath gets worse with exercise,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute myeloid leukemia (AML) - children,Bone or joint pain,Frequent infections,Easy bleeding or bruising,Feeling weak or tired,Fever with or withoutinfection,Night sweats,Painless lumps in neck armpits stomach groin or other parts of body that may be blue or purple,Pinpoint spots under skin caused by bleeding,Shortness of breath,Loss of appetite and eating less food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute nephritic syndrome,Blood in urine urine appears dark teacolored or cloudy,Decreased urine output little or no urine may be produced,Swelling of face eye socket legs arms hands feet abdomen or other areas,High blood pressure,Blurred vision usually from burst blood vessels in retina of eye,Cough containing mucus or pink frothy material from fluid buildup in lungs,Shortness of breath from fluid buildup in lungs,General ill feeling malaise drowsiness confusion aches and pains headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute pancreatitis,May be worse within minutes after eating or drinking at first more commonly if foods havehigh fat content,Becomes constant and more severe lasting for several days,May be worse when lying flat on back,May spread radiate to back or below left shoulder blade,People with acute pancreatitis often look ill and havefever nausea vomiting and sweating,Claycolored stools,Bloating and fullness,Hiccups,Indigestion,Mild yellowing of skin and whites of eyes jaundice,Swollen abdomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute respiratory distress syndrome,Shortness of breath,Fast heartbeat,Low blood pressure and organ failure,Rapid breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute tubular necrosis,Decreased consciousness coma delirium or confusion drowsiness and lethargy,Decreased urine output or no urine output,General swelling fluid retention,Nausea vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addison disease,Chronic diarrhea nausea and vomiting,Darkening of skin in some places,Dehydration,Dizziness when standing up,Lowgrade fever,Extreme weakness fatigue and slow sluggish movement,Darker skin on inside ofthe cheeks and lipsbuccal mucosa,Salt craving eating food withlot of added salt,Weight loss with reduced appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenomyosis,Longterm or heavy menstrual bleeding,Painful menstrual periods which gets worse,Pelvic pain during intercourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhesion,Bloating or swelling of your belly,Constipation,Nausea and vomiting,No longer being able to pass gas,Pain in belly that is severe and crampy,Adhesions in pelvis may cause longterm chronic pelvic pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment disorder,Acting defiant or showing impulsive behavior,Acting nervous or tense,Crying feeling sad or hopeless and possibly withdrawing from other people,Skipped heartbeats and other physical complaints,Trembling or twitching,There do not appear to be other disorders involved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenergic bronchodilator overdose,Feeling breathless or short of breath,Shallow breathing,Rapid breathing,No breathing,No urine output,Blurred vision,Dilated pupils,Burning throat,High blood pressuren low blood pressure,Rapid heartbeat,Chills,Coma,Convulsions,Fever,Irritability,Nervousness,Tingling of hands and feet,Tremor,Blue lips and fingernails,Nausea and vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenocortical carcinoma,Fatty rounded hump high on back just below neck buffalo hump,Flushed rounded face with pudgy cheeks moon face,Obesity,Stunted growth short stature,Virilization  appearance of male characteristics including increased body hair especially on face pubic hair acne deepening of voice and enlarged clitoris females,Muscle cramps,Weakness,Pain in abdomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenoleukodystrophy,Changes in muscle tone especially muscle spasms and uncontrolled movements,Crossed eyes,Handwriting that gets worse,Difficulty at school,Difficulty understanding what people are saying,Hearing loss,Hyperactivity,Worsening nervous system damage including coma decreased fine motor control and paralysis,Seizures,Swallowing difficulties,Visual impairment or blindness,Difficulty controlling urination,Possible worsening muscle weakness or leg stiffness,Problems with thinking speed and visual memory,Adrenal gland failure,Coma,Decreased appetite,Increased skin color,Loss of weight andmuscle mass wasting,Muscle weakness,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult soft tissue sarcoma,Pain if it presses onnerve organ blood vessel or muscle,Blockage or bleeding in stomach or intestines,Breathing problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Still disease,Abdominal pain and swelling,Pain when takingdeep breath pleurisy,Sore throat,Swollen lymph nodes glands,Weight loss,The spleen or liver may become swollen,Lung and heart inflammation may also occur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aftershave poisoning,Abdominal pain,Change in alertness level may become unconscious,Coma decreased level of consciousness and lack of responsiveness,Eye irritation burning redness tears,Headache,Low body temperature,Low blood pressure,Low blood sugar,Nausea and vomiting may contain blood,Rapid heart rate,Slowed breathing,Slurred speech,Stupor,Throat pain,Unable to walk normally,Urination difficulties too much or too little urine output,Dizziness,Unresponsive reflexes,Uncoordinated movement,Confusion,Irritability,Nausea,Sleepiness,Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agammaglobulinemia,Bronchitisairway infection,Chronic diarrhea,Conjunctivitis eye infection,Otitis media middle ear infection,Pneumonia lung infection,Sinusitissinus infection,Skin infections,Upper respiratory tract infections,Infections typically appear in first 4 years of life,Bronchiectasisdisease in which small air sacs in lungs become damaged and enlarged,Asthmawithoutknown cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age-related hearing loss,Difficulty hearing people around you,Frequently asking people to repeatmselves,Frustration at not being able to hear,Certain sounds seeming overly loud,Problems hearing in noisy areas,Problems telling apart certain sounds such as s or th,More difficulty understanding people with higherpitched voices,Ringing in ears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agoraphobia,Being afraid of spending time alone,Being afraid of places where escape might be hard,Being afraid of losing control inpublic place,Depending on others,Feeling detached or separated from others,Feeling helpless,Feeling that body is not real,Feeling that environment is not real,Havingunusual temper or agitation,Staying in house for long periods,Chest pain or discomfort,Choking,Dizziness or fainting,Nausea or other stomach distress,Racing heart,Short of breath,Sweating,Trembling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agranulocytosis,Fever,Chills,Malaise,General weakness,Sore throat,Mouth and throat ulcers,Bone pain,Pneumonia,Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aicardi syndrome,Coloboma cats eye,Intellectual disability,Smallerthannormal eyes microphthalmia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albinism,No color in hair skin or iris of eye,Lighter than normal skin and hair,Patches of missing skin color,Crossed eyes,Light sensitivity,Rapid eye movements,Vision problems or functional blindness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol use disorder,Times when you drink more or longer than you planned to,Wanted to or tried to cut down or stop drinking but could not,Spendlot of time and effort to get alcohol use it or recover from its effects,Crave alcohol or havestrong urge to use it,Alcohol use is causing you to miss work or school or you do not perform as well because of drinking,Continue to drink even when relationships with family and friends are being harmed,Stop taking part in activities that you used to enjoy,While or after drinking you get into situations that can cause you to get hurt such as driving using machinery or having unsafe sex,Keep drinking even though you know it is makinghealth problem caused by alcohol worse,Need more and more alcohol to feel its effects or to get drunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol withdrawal,Anxiety or nervousness,Depression,Fatigue,Irritability,Jumpiness or shakiness,Mood swings,Nightmares,Not thinking clearly,Sweating clammy skin,Enlarged dilated pupils,Headache,Insomnia sleeping difficulty,Loss of appetite,Nausea and vomiting,Pallor,Rapid heart rate,Tremor of hands or other body parts,"A severe form of alcohol withdrawal called delirium tremens can cause agitation,fever",Seeing or feeling things that arentre hallucinations,Seizures,Severe confusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholic ketoacidosis,Nausea and vomiting,Abdominal pain,Agitation confusion,Changed level of alertness which may lead to coma,Fatigue slow sluggish movements,Deep labored rapid breathing,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholic liver disease,Loss of energy,Poor appetite and weight loss,Nausea,Belly pain,Small red spiderlike blood vessels on skin,Fluid buildup of legs edema and in abdomen ascites,Yellow color in skin mucous membranes or eyes jaundice,Redness on palms of hands,In men impotence shrinking of testicles and breast swelling,Easy bruising and abnormal bleeding,Confusion or problems thinking,Pale or claycolored stools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholic neuropathy,Numbness in arms and legs,Abnormal sensations such as pins and needles,Painful sensations in arms and legs,Muscle problems including weakness cramps aches or spasms,Heat intolerance especially after exercise,Erection problems impotence,Problems urinating incontinence leaking urine feeling of incomplete bladder emptying difficulty beginning to urinate,Constipation or diarrhea,Nausea vomiting,Problems swallowing or talking,Unsteady gait walking,Changes in muscle strength or sensation usually occur on both sides of body and are more common in legs than in arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkalosis,Confusion can progress to stupor or coma,Hand tremor,Lightheadedness,Muscle twitching,Nausea vomiting,Numbness or tingling in face hands or feet,Prolonged muscle spasms tetany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkaptonuria,Arthritis especially of spine that gets worse over time,Darkening of ear,Dark spots on white of eye and cornea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergic conjunctivitis,Intense itching or burning eyes,Puffy eyelids most often in morning,Red eyes,Stringy eye discharge,Tearing watery eyes,Widened blood vessels in clear tissue covering white of eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
